,CountryName,Date,ConfirmedCases,ConfirmedDeaths,Days_since_ConfirmedCases,Days_since_ConfirmedDeaths,Days_since_S1_School closing_1.0,Days_since_S1_School closing_2.0,Days_since_S2_Workplace closing_1.0,Days_since_S2_Workplace closing_2.0,Days_since_S3_Cancel public events_1.0,Days_since_S3_Cancel public events_2.0,Days_since_S4_Close public transport_1.0,Days_since_S4_Close public transport_2.0,Days_since_S5_Public information campaigns_1.0,Days_since_S6_Restrictions on internal movement_1.0,Days_since_S6_Restrictions on internal movement_2.0,Days_since_S7_International travel controls_1.0,Days_since_S7_International travel controls_2.0,Days_since_S7_International travel controls_3.0,%ConfirmedCases,%ConfirmedCases_smooth,%ConfirmedDeaths,%ConfirmedDeaths_smooth,Days,Days_since_100Cases
39,Hong Kong,2020-01-01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Hong Kong,2020-01-02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
239,Hong Kong,2020-01-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
339,Hong Kong,2020-01-04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0
439,Hong Kong,2020-01-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0
539,Hong Kong,2020-01-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,0
639,Hong Kong,2020-01-07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,6,0
739,Hong Kong,2020-01-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,7,0
839,Hong Kong,2020-01-09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,8,0
939,Hong Kong,2020-01-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,9,0
1039,Hong Kong,2020-01-11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,10,0
1139,Hong Kong,2020-01-12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,11,0
1239,Hong Kong,2020-01-13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,12,0
1339,Hong Kong,2020-01-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,13,0
1439,Hong Kong,2020-01-15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0,0,0,0,0,14,0
1539,Hong Kong,2020-01-16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,15,0
1639,Hong Kong,2020-01-17,0.0,0.0,0,0,1,0,0,0,0,0,0,0,16,0,0,14,0,0,0,0,0,0,16,0
1739,Hong Kong,2020-01-18,0.0,0.0,0,0,2,0,0,0,0,0,0,0,17,0,0,15,0,0,0,0,0,0,17,0
1839,Hong Kong,2020-01-19,0.0,0.0,0,0,3,0,0,0,0,0,0,0,18,0,0,16,0,0,0,0,0,0,18,0
1939,Hong Kong,2020-01-20,0.0,0.0,0,0,4,0,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,19,0
2039,Hong Kong,2020-01-21,0.0,0.0,0,0,5,0,0,0,0,0,0,0,20,0,0,18,0,0,0,0,0,0,20,0
2138,Hong Kong,2020-01-22,0.0,0.0,0,0,6,0,0,0,0,0,0,0,21,0,0,19,0,0,0,0,0,0,21,0
2237,Hong Kong,2020-01-23,0.0,0.0,0,0,7,0,0,0,0,0,0,0,22,0,0,20,0,0,0,0,0,0,22,0
2336,Hong Kong,2020-01-24,0.0,0.0,0,0,8,0,0,0,0,0,0,0,23,0,0,21,0,0,0,0,0,0,23,0
2435,Hong Kong,2020-01-25,0.0,0.0,0,0,9,0,0,0,0,0,0,0,24,0,0,22,0,0,0,0,0,0,24,0
2534,Hong Kong,2020-01-26,0.0,0.0,0,0,9,1,0,0,0,0,0,0,25,0,0,23,0,0,0,0,0,0,25,0
2633,Hong Kong,2020-01-27,0.0,0.0,0,0,9,2,0,0,0,1,0,0,26,0,0,24,0,0,0,0,0,0,26,0
2732,Hong Kong,2020-01-28,0.0,0.0,0,0,9,3,0,0,0,2,0,0,27,0,0,24,0,1,0,0,0,0,27,0
2831,Hong Kong,2020-01-29,0.0,0.0,0,0,9,4,1,0,0,3,0,0,28,0,0,24,0,2,0,0,0,0,28,0
2930,Hong Kong,2020-01-30,0.0,0.0,0,0,9,5,1,1,0,4,0,0,29,0,0,24,0,3,0,0,0,0,29,0
3029,Hong Kong,2020-01-31,0.0,0.0,0,0,9,6,1,2,0,5,0,0,30,0,0,24,0,4,0,0,0,0,30,0
3129,Hong Kong,2020-02-01,0.0,0.0,0,0,9,7,1,3,0,6,0,0,31,0,0,24,0,5,0,0,0,0,31,0
3229,Hong Kong,2020-02-02,0.0,0.0,0,0,9,8,1,4,0,7,0,0,32,0,0,24,0,6,0,0,0,0,32,0
3329,Hong Kong,2020-02-03,0.0,0.0,0,0,9,9,1,5,0,8,0,0,33,0,0,24,0,7,0,0,0,0,33,0
3429,Hong Kong,2020-02-04,0.0,0.0,0,0,9,10,1,6,0,9,0,0,34,0,0,24,0,8,0,0,0,0,34,0
3529,Hong Kong,2020-02-05,0.0,0.0,0,0,9,11,1,7,0,10,0,0,35,0,0,24,0,9,0,0,0,0,35,0
3630,Hong Kong,2020-02-06,0.0,0.0,0,0,9,12,1,8,0,11,0,0,36,0,0,24,0,10,0,0,0,0,36,0
3730,Hong Kong,2020-02-07,0.0,0.0,0,0,9,13,1,9,0,12,0,0,37,0,0,24,0,11,0,0,0,0,37,0
3830,Hong Kong,2020-02-08,0.0,0.0,0,0,9,14,1,10,0,13,0,0,38,0,0,24,0,12,0,0,0,0,38,0
3930,Hong Kong,2020-02-09,0.0,0.0,0,0,9,15,1,11,0,14,0,0,39,0,0,24,0,13,0,0,0,0,39,0
4030,Hong Kong,2020-02-10,0.0,0.0,0,0,9,16,1,12,0,15,0,0,40,0,0,24,0,14,0,0,0,0,40,0
4130,Hong Kong,2020-02-11,0.0,0.0,0,0,9,17,1,13,0,16,0,0,41,1,0,24,0,15,0,0,0,0,41,0
4230,Hong Kong,2020-02-12,0.0,0.0,0,0,9,18,1,14,0,17,0,0,42,2,0,24,0,16,0,0,0,0,42,0
4330,Hong Kong,2020-02-13,0.0,0.0,0,0,9,19,1,15,0,18,0,0,43,3,0,24,0,17,0,0,0,0,43,0
4430,Hong Kong,2020-02-14,0.0,0.0,0,0,9,20,1,16,0,19,0,0,44,4,0,24,0,18,0,0,0,0,44,0
4530,Hong Kong,2020-02-15,0.0,0.0,0,0,9,21,1,17,0,20,0,0,45,5,0,24,0,19,0,0,0,0,45,0
4630,Hong Kong,2020-02-16,0.0,0.0,0,0,9,22,1,18,0,21,0,0,46,6,0,24,0,20,0,0,0,0,46,0
4730,Hong Kong,2020-02-17,0.0,0.0,0,0,9,23,1,19,0,22,0,0,47,7,0,24,0,21,0,0,0,0,47,0
4830,Hong Kong,2020-02-18,0.0,0.0,0,0,9,24,1,20,0,23,0,0,48,8,0,24,0,22,0,0,0,0,48,0
4930,Hong Kong,2020-02-19,0.0,0.0,0,0,9,25,1,21,0,24,0,0,49,9,0,24,0,23,0,0,0,0,49,0
5030,Hong Kong,2020-02-20,0.0,0.0,0,0,9,26,1,22,0,25,0,0,50,10,0,24,0,24,0,0,0,0,50,0
5130,Hong Kong,2020-02-21,0.0,0.0,0,0,9,27,1,23,0,26,0,0,51,11,0,24,0,25,0,0,0,0,51,0
5230,Hong Kong,2020-02-22,0.0,0.0,0,0,9,28,1,24,0,27,0,0,52,12,0,24,0,26,0,0,0,0,52,0
5330,Hong Kong,2020-02-23,0.0,0.0,0,0,9,29,1,25,0,28,0,0,53,13,0,24,0,27,0,0,0,0,53,0
5430,Hong Kong,2020-02-24,0.0,0.0,0,0,9,30,1,26,0,29,0,0,54,14,0,24,0,28,0,0,0,0,54,0
5530,Hong Kong,2020-02-25,0.0,0.0,0,0,9,31,1,27,0,30,0,0,55,15,0,24,0,29,0,0,0,0,55,0
5630,Hong Kong,2020-02-26,0.0,0.0,0,0,9,32,1,28,0,31,0,0,56,16,0,24,0,30,0,0,0,0,56,0
5730,Hong Kong,2020-02-27,0.0,0.0,0,0,9,33,1,29,0,32,0,0,57,17,0,24,0,31,0,0,0,0,57,0
5830,Hong Kong,2020-02-28,0.0,0.0,0,0,9,34,1,30,0,33,0,0,58,18,0,24,0,32,0,0,0,0,58,0
5930,Hong Kong,2020-02-29,0.0,0.0,0,0,9,35,1,31,0,34,0,0,59,19,0,24,0,33,0,0,0,0,59,0
6030,Hong Kong,2020-03-01,0.0,0.0,0,0,9,36,1,32,0,35,0,0,60,20,0,24,0,34,0,0,0,0,60,0
6130,Hong Kong,2020-03-02,0.0,0.0,0,0,9,37,1,33,0,36,0,0,61,21,0,24,0,35,0,0,0,0,61,0
6232,Hong Kong,2020-03-03,0.0,0.0,0,0,9,38,1,33,0,37,0,0,62,22,0,24,0,36,0,0,0,0,62,0
6333,Hong Kong,2020-03-04,0.0,0.0,0,0,9,39,1,33,0,38,0,0,63,23,0,24,0,37,0,0,0,0,63,0
6428,Hong Kong,2020-03-05,0.0,0.0,0,0,9,40,1,33,0,39,0,0,64,24,0,24,0,38,0,0,0,0,64,0
6522,Hong Kong,2020-03-06,0.0,0.0,0,0,9,41,1,33,0,40,0,0,65,25,0,24,0,39,0,0,0,0,65,0
6620,Hong Kong,2020-03-07,0.0,0.0,0,0,9,42,1,33,0,41,0,0,66,26,0,24,0,40,0,0,0,0,66,0
6721,Hong Kong,2020-03-08,0.0,0.0,0,0,9,43,1,33,0,42,0,0,67,27,0,24,0,41,0,0,0,0,67,0
6825,Hong Kong,2020-03-09,0.0,0.0,0,0,9,44,1,33,0,43,0,0,68,28,0,24,0,42,0,0,0,0,68,0
6929,Hong Kong,2020-03-10,0.0,0.0,0,0,9,45,1,33,0,44,0,0,69,29,0,24,0,43,0,0,0,0,69,0
7035,Hong Kong,2020-03-11,0.0,0.0,0,0,9,46,1,33,0,45,0,0,70,30,0,24,0,44,0,0,0,0,70,0
7150,Hong Kong,2020-03-12,0.0,0.0,0,0,9,47,1,33,0,46,0,0,71,31,0,24,0,45,0,0,0,0,71,0
7271,Hong Kong,2020-03-13,0.0,0.0,0,0,9,48,1,33,0,47,0,0,72,32,0,24,0,46,0,0,0,0,72,0
7396,Hong Kong,2020-03-14,0.0,0.0,0,0,9,49,1,33,0,48,0,0,73,33,0,24,0,47,0,0,0,0,73,0
7528,Hong Kong,2020-03-15,0.0,0.0,0,0,9,50,1,33,0,49,0,0,74,34,0,24,0,48,0,0,0,0,74,0
7676,Hong Kong,2020-03-16,0.0,0.0,0,0,9,51,1,33,0,50,0,0,75,35,0,24,0,49,0,0,0,0,75,0
7825,Hong Kong,2020-03-17,0.0,0.0,0,0,9,52,1,33,0,51,0,0,76,36,0,24,0,50,0,0,0,0,76,0
7976,Hong Kong,2020-03-18,0.0,0.0,0,0,9,53,1,33,0,52,0,0,77,37,0,24,0,51,0,0,0,0,77,0
8130,Hong Kong,2020-03-19,0.0,0.0,0,0,9,54,1,33,0,53,0,0,78,38,0,24,0,52,0,0,0,0,78,0
8292,Hong Kong,2020-03-20,0.0,0.0,0,0,9,55,1,33,0,54,0,0,79,39,0,24,0,53,0,0,0,0,79,0
8454,Hong Kong,2020-03-21,0.0,0.0,0,0,9,56,1,33,0,55,0,0,80,40,0,24,0,54,0,0,0,0,80,0
8617,Hong Kong,2020-03-22,0.0,0.0,0,0,9,57,1,33,0,56,0,0,81,41,0,24,0,55,0,0,0,0,81,0
8787,Hong Kong,2020-03-23,0.0,0.0,0,0,9,58,1,33,0,57,0,0,82,42,0,24,0,56,0,0,0,0,82,0
8959,Hong Kong,2020-03-24,0.0,0.0,0,0,9,59,1,34,0,58,0,0,83,43,0,24,0,57,0,0,0,0,83,0
9133,Hong Kong,2020-03-25,0.0,0.0,0,0,9,60,1,35,0,59,0,0,84,44,0,24,0,58,0,0,0,0,84,0
9250,Hong Kong,2020-03-26,0.0,0.0,0,0,9,61,1,36,0,60,0,0,85,45,0,24,0,59,0,0,0,0,85,0
2086,Serbia,2020-01-21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,0
2185,Serbia,2020-01-22,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,21,0
2284,Serbia,2020-01-23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,22,0
2383,Serbia,2020-01-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,23,0
2482,Serbia,2020-01-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,24,0
2581,Serbia,2020-01-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,25,0
2680,Serbia,2020-01-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,26,0
2779,Serbia,2020-01-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0,0.0,0.0,0.0,27,0
2878,Serbia,2020-01-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0,0.0,0.0,0.0,28,0
2977,Serbia,2020-01-30,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0,0.0,0.0,0.0,29,0
3076,Serbia,2020-01-31,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0,0.0,30,0
3176,Serbia,2020-02-01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.0,0.0,0.0,0.0,31,0
3276,Serbia,2020-02-02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.0,0.0,0.0,0.0,32,0
3376,Serbia,2020-02-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.0,0.0,0.0,0.0,33,0
3476,Serbia,2020-02-04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.0,0.0,0.0,0.0,34,0
3576,Serbia,2020-02-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,0.0,0.0,0.0,35,0
3677,Serbia,2020-02-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0,0.0,0.0,0.0,36,0
3777,Serbia,2020-02-07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,0.0,0.0,0.0,37,0
3877,Serbia,2020-02-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,0.0,0.0,0.0,38,0
3977,Serbia,2020-02-09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,0.0,0.0,0.0,39,0
4077,Serbia,2020-02-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,0.0,0.0,0.0,40,0
4177,Serbia,2020-02-11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,0.0,0.0,0.0,41,0
4277,Serbia,2020-02-12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,0.0,0.0,0.0,42,0
4377,Serbia,2020-02-13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,0.0,0.0,0.0,43,0
4477,Serbia,2020-02-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.0,0.0,0.0,0.0,44,0
4577,Serbia,2020-02-15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,0.0,0.0,0.0,45,0
4677,Serbia,2020-02-16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,0.0,0.0,0.0,46,0
4777,Serbia,2020-02-17,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,0.0,0.0,0.0,47,0
4877,Serbia,2020-02-18,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,0.0,0.0,0.0,48,0
4977,Serbia,2020-02-19,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,0.0,0.0,0.0,49,0
5077,Serbia,2020-02-20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,0.0,0.0,0.0,50,0
5177,Serbia,2020-02-21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,0.0,0.0,0.0,51,0
5277,Serbia,2020-02-22,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0.0,0.0,0.0,0.0,52,0
5377,Serbia,2020-02-23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0.0,0.0,0.0,0.0,53,0
5477,Serbia,2020-02-24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0.0,0.0,0.0,0.0,54,0
5577,Serbia,2020-02-25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0.0,0.0,0.0,0.0,55,0
5677,Serbia,2020-02-26,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0.0,0.0,0.0,0.0,56,0
5777,Serbia,2020-02-27,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,0,0,0.0,0.0,0.0,0.0,57,0
5877,Serbia,2020-02-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,38,0,0,0.0,0.0,0.0,0.0,58,0
5977,Serbia,2020-02-29,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,0,39,0,0,0.0,0.0,0.0,0.0,59,0
6077,Serbia,2020-03-01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0.0,0.0,0.0,0.0,60,0
6177,Serbia,2020-03-02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,0,0,41,0,0,0.0,0.0,0.0,0.0,61,0
6283,Serbia,2020-03-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,0,42,0,0,0.0,0.0,0.0,0.0,62,0
6377,Serbia,2020-03-04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8,0,0,43,0,0,0.0,0.0,0.0,0.0,63,0
6468,Serbia,2020-03-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,9,0,0,44,0,0,0.0,0.0,0.0,0.0,64,0
6566,Serbia,2020-03-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,45,0,0,0.0,0.0,0.0,0.0,65,0
6668,Serbia,2020-03-07,1.0,0.0,0,0,0,0,0,0,0,0,0,0,11,0,0,46,0,0,0.0,0.0,0.0,0.0,66,0
6772,Serbia,2020-03-08,1.0,0.0,1,0,0,0,0,0,0,0,0,0,12,0,0,47,0,0,0.0,0.0,0.0,0.0,67,0
7206,Serbia,2020-03-12,5.0,0.0,3,0,0,0,0,0,0,1,0,0,16,0,0,49,0,2,0.0,0.0,0.0,0.0,71,0
7327,Serbia,2020-03-13,18.0,0.0,4,0,0,0,0,0,0,2,0,0,17,0,0,49,0,3,2.6,0.65,0.0,0.0,72,0
7454,Serbia,2020-03-14,24.0,0.0,5,0,0,0,0,0,0,3,0,0,18,1,0,49,0,4,0.3333333333333333,0.7333333333333334,0.0,0.0,73,0
7594,Serbia,2020-03-15,41.0,0.0,6,0,0,1,0,0,0,4,0,0,19,2,0,49,0,5,0.7083333333333334,0.9104166666666668,0.0,0.0,74,0
7742,Serbia,2020-03-16,46.0,0.0,7,0,0,2,1,0,0,5,0,0,20,3,0,49,0,6,0.12195121951219512,0.9409044715447156,0.0,0.0,75,0
7892,Serbia,2020-03-17,55.0,0.0,8,0,0,3,2,0,0,6,0,0,21,4,0,49,0,7,0.1956521739130435,0.3398175150229763,0.0,0.0,76,0
8045,Serbia,2020-03-18,57.0,0.0,9,0,0,4,3,0,0,7,0,0,22,4,1,49,0,8,0.03636363636363636,0.2655750907805521,0.0,0.0,77,0
8199,Serbia,2020-03-19,72.0,0.0,10,0,0,5,4,0,0,8,0,0,23,4,2,49,0,9,0.2631578947368421,0.15428123113142928,0.0,0.0,78,0
8363,Serbia,2020-03-20,94.0,0.0,11,0,0,6,5,0,0,9,0,0,24,4,3,49,0,10,0.3055555555555556,0.20018231514226936,0.0,0.0,79,0
8524,Serbia,2020-03-21,126.0,0.0,12,0,0,7,6,0,0,10,0,0,25,4,4,49,0,11,0.3404255319148936,0.2363756546427319,0.0,0.0,80,0
8691,Serbia,2020-03-22,135.0,1.0,13,0,0,8,7,0,0,11,0,0,26,4,5,49,0,12,0.07142857142857142,0.24514188840896567,0.0,0.0,81,0
8861,Serbia,2020-03-23,149.0,1.0,14,1,0,9,7,1,0,12,0,1,27,4,6,49,0,13,0.1037037037037037,0.2052783406506811,0.0,0.0,82,0
9034,Serbia,2020-03-24,188.0,1.0,15,2,0,10,7,2,0,13,0,2,28,4,7,49,0,14,0.26174496644295303,0.19432569337253047,0.0,0.0,83,0
9208,Serbia,2020-03-25,222.0,1.0,16,3,0,11,7,3,0,14,0,3,29,4,8,49,0,15,0.18085106382978725,0.15443207635125386,0.0,0.0,84,0
6603,Costa Rica,2020-03-07,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,0
6705,Costa Rica,2020-03-08,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,0
6809,Costa Rica,2020-03-09,5.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,68,0
6912,Costa Rica,2020-03-10,5.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,69,0
7018,Costa Rica,2020-03-11,9.0,0.0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.8,1.2,0.0,0.0,70,0
7131,Costa Rica,2020-03-12,13.0,0.0,5,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0.4444444444444444,1.3111111111111111,0.0,0.0,71,0
7250,Costa Rica,2020-03-13,22.0,0.0,6,0,2,0,3,0,0,3,0,0,2,0,0,0,0,0,0.6923076923076923,0.4841880341880342,0.0,0.0,72,0
7373,Costa Rica,2020-03-14,23.0,0.0,7,0,3,0,4,0,0,4,0,0,3,0,0,0,0,0,0.045454545454545456,0.49555167055167054,0.0,0.0,73,0
7504,Costa Rica,2020-03-15,26.0,0.0,8,0,4,0,5,0,0,5,0,0,4,0,0,0,0,0,0.13043478260869565,0.3281603662038444,0.0,0.0,74,0
7652,Costa Rica,2020-03-16,27.0,0.0,9,0,5,0,6,0,0,6,0,0,5,0,0,0,0,0,0.038461538461538464,0.22666463970811795,0.0,0.0,75,0
7802,Costa Rica,2020-03-17,35.0,0.0,10,0,5,1,7,0,0,7,0,0,6,0,0,0,0,0,0.2962962962962963,0.12766179070526895,0.0,0.0,76,0
7951,Costa Rica,2020-03-18,41.0,0.0,11,0,5,2,8,0,0,8,0,0,7,0,0,0,0,0,0.17142857142857143,0.15915529719877547,0.0,0.0,77,0
8103,Costa Rica,2020-03-19,50.0,0.0,12,0,5,3,8,1,0,9,0,0,8,0,0,0,0,1,0.21951219512195122,0.18142465032708932,0.0,0.0,78,0
8260,Costa Rica,2020-03-20,69.0,1.0,13,0,5,4,8,2,0,10,0,0,9,0,0,0,0,2,0.38,0.2668092657117047,0.0,0.0,79,0
8424,Costa Rica,2020-03-21,87.0,1.0,14,1,5,5,8,3,0,11,0,0,10,0,0,0,0,3,0.2608695652173913,0.2579525829419785,0.0,0.0,80,0
8587,Costa Rica,2020-03-22,113.0,2.0,15,2,5,6,8,4,0,12,0,0,11,0,0,0,0,4,0.2988505747126437,0.28980808376299655,1.0,0.0,81,0
8756,Costa Rica,2020-03-23,117.0,2.0,16,3,5,7,8,5,0,13,0,0,12,0,0,0,0,5,0.035398230088495575,0.24377959250463266,0.0,0.25,82,0
8926,Costa Rica,2020-03-24,134.0,2.0,17,4,5,8,8,6,0,14,0,0,13,0,0,0,0,6,0.1452991452991453,0.18510437882941896,0.0,0.25,83,0
9100,Costa Rica,2020-03-25,158.0,2.0,18,5,5,9,8,7,0,15,0,0,14,0,0,0,0,7,0.1791044776119403,0.16466310692805622,0.0,0.25,84,0
3182,Tanzania,2020-02-01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,31,0
3282,Tanzania,2020-02-02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,32,0
3382,Tanzania,2020-02-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,33,0
3482,Tanzania,2020-02-04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0,34,0
3582,Tanzania,2020-02-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0,0,35,0
3683,Tanzania,2020-02-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0,0,36,0
3783,Tanzania,2020-02-07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0,0,37,0
3883,Tanzania,2020-02-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0,0,38,0
3983,Tanzania,2020-02-09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0,0,39,0
4083,Tanzania,2020-02-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0,0,40,0
4183,Tanzania,2020-02-11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0,0,41,0
4283,Tanzania,2020-02-12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0,0,42,0
4383,Tanzania,2020-02-13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,43,0
4483,Tanzania,2020-02-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0,0,44,0
4583,Tanzania,2020-02-15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0,0,45,0
4683,Tanzania,2020-02-16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0,0,46,0
4783,Tanzania,2020-02-17,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0,0,47,0
4883,Tanzania,2020-02-18,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0,0,0,48,0
